Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2021-02-25,84000,85400,83000,85300,34155986,0.040243902439024426,37528,26.94,2.27,3166,1.66,1416,2,2
2021-02-26,82800,83400,82000,82500,38520800,-0.03282532239155922,37528,26.06,2.2,3166,1.72,1416,2,2
2021-03-02,85100,85300,83000,83600,33498180,0.01333333333333342,37528,26.41,2.23,3166,1.69,1416,2,2
2021-03-03,83500,84000,82800,84000,19882132,0.004784688995215225,37528,26.53,2.24,3166,1.69,1416,2,2
2021-03-04,82600,83200,82200,82400,24348331,-0.01904761904761909,37528,26.03,2.2,3166,1.72,1416,2,2
2021-03-05,81100,82600,81100,82100,20508971,-0.00364077669902918,37528,25.93,2.19,3166,1.72,1416,2,2
2021-03-08,82900,83000,81600,82000,17641256,-0.0012180267965895553,37528,25.9,2.19,3166,1.73,1416,0,2
2021-03-09,81400,81900,80600,81400,25420764,-0.007317073170731714,37528,25.71,2.17,3166,1.74,1416,1,2
2021-03-10,82400,82500,80700,80900,20038422,-0.00614250614250611,37528,25.55,2.16,3166,1.75,1416,2,2
2021-03-11,81000,82500,81000,82000,23818297,0.013597033374536549,37528,25.9,2.19,3166,1.73,1416,0,2
2021-03-12,83100,83500,82400,82800,13530573,0.009756097560975618,37528,26.15,2.21,3166,1.71,1416,2,2
2021-03-15,82800,82900,81800,81800,13735798,-0.012077294685990392,37528,25.84,2.18,3166,1.73,1416,2,2
2021-03-16,82200,83000,82100,82800,12293537,0.012224938875305513,37528,26.15,2.21,3166,1.71,1416,2,2
2021-03-17,82800,82900,82000,82300,11625146,-0.006038647342995196,37528,25.99,2.19,3166,1.72,1416,0,2
2021-03-18,82800,83800,82600,82900,18585244,0.007290400972053357,37528,26.18,2.21,3166,1.71,1416,2,2
2021-03-19,82100,82500,81800,81900,15869700,-0.012062726176115812,37528,25.87,2.18,3166,1.73,1416,2,2
2021-03-22,82000,82300,81700,82000,12670506,0.0012210012210012167,37528,25.9,2.19,3166,1.73,1416,2,2
